Rk,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,Year,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
120,NBA,1,8,NYK,Frank Ntilikina,18.334,G,be,,2018,2021,2017,204,19.9,5.6,2,2.7,0.8,0.2,0.366,0.392,0.324,0.757,-0.5,-0.006
121,NBA,1,9,DAL,Dennis Smith,19.214,G,us,NC State,2018,2021,2017,179,25.2,11.8,3.1,4.4,1.1,0.3,0.4,0.441,0.316,0.652,-1,-0.01
122,NBA,1,10,SAC,Zach Collins,19.22,C-F,us,Gonzaga,2018,2020,2017,154,17.5,5.7,4,0.9,0.3,0.7,0.444,0.504,0.324,0.722,3.9,0.069
123,NBA,1,11,CHO,Malik Monk,19.143,G,us,Kentucky,2018,2021,2017,225,17.9,9.2,2,1.7,0.4,0.2,0.407,0.477,0.342,0.843,2.2,0.026
124,NBA,1,12,DET,Luke Kennard,21.003,G,us,Duke,2018,2021,2017,222,22.3,9.4,2.8,2,0.5,0.2,0.449,0.482,0.416,0.859,9.5,0.092
125,NBA,1,13,DEN,Donovan Mitchell,20.293,G,us,Louisville,2018,2021,2017,278,33.7,23.4,4.1,4.3,1.2,0.3,0.439,0.485,0.362,0.829,21.8,0.112
126,NBA,1,14,MIA,Bam Adebayo,19.344,C-F,us,Kentucky,2018,2021,2017,281,27.2,12.3,8,3.4,0.9,0.9,0.558,0.566,0.159,0.737,27.6,0.173
127,NBA,1,15,POR,Justin Jackson,22.092,G-F,us,UNC,2018,2021,2017,247,19.1,6.6,2.5,1.1,0.4,0.2,0.428,0.527,0.321,0.8,5.3,0.054
128,NBA,1,17,MIL,D.J. Wilson,21.129,F,us,Michigan,2018,2021,2017,142,12.3,4.3,3.1,0.7,0.2,0.3,0.411,0.498,0.329,0.598,2.5,0.068
129,NBA,1,18,IND,T.J. Leaf,20.058,F,il,UCLA,2018,2021,2017,141,8.6,3.3,2,0.3,0.2,0.2,0.491,0.535,0.341,0.571,2.7,0.105
130,NBA,1,19,ATL,John Collins,19.277,F,us,Wake Forest,2018,2021,2017,232,28.7,16.5,8.5,1.5,0.6,1,0.566,0.614,0.373,0.775,22.2,0.16
131,NBA,1,20,POR,Harry Giles,19.066,F-C,us,Duke,2019,2021,2017,137,13.2,6,3.9,1.2,0.4,0.4,0.512,0.52,0.308,0.685,2.9,0.078
132,NBA,1,21,OKC,Terrance Ferguson,19.041,G-F,us,,2018,2021,2017,204,19.6,4.5,1.3,0.7,0.5,0.2,0.404,0.57,0.334,0.753,4.4,0.053
